,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage
0,81.24298858642578,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
1,83.1878890991211,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
2,83.9498291015625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
3,82.30358123779297,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
4,83.6817626953125,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
5,84.53402709960938,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
6,83.80123138427734,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
7,85.11968231201172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
8,84.63455200195312,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
9,85.63249206542969,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
10,83.87552642822266,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
11,86.08557891845703,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
12,83.72984313964844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
13,83.32337951660156,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
14,84.02412414550781,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
15,85.96611785888672,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
16,85.7344741821289,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
17,86.28807830810547,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
18,85.86705017089844,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
19,84.77003479003906,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
20,84.62435150146484,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
21,85.84956359863281,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
22,84.92154693603516,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
23,81.05359649658203,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
24,84.04598236083984,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
25,85.80294799804688,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
26,85.30907440185547,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
27,85.51303100585938,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
28,85.27702331542969,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
29,86.00981903076172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
30,85.39939880371094,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
31,84.88221740722656,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
32,83.97313690185547,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
33,85.47370147705078,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
34,84.96088409423828,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
35,85.1968994140625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
36,85.67182922363281,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
37,85.83062744140625,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
38,84.02120971679688,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
39,85.51740264892578,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
40,84.31841278076172,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
41,83.659912109375,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
42,82.86009979248047,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
43,82.55998992919922,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
44,84.45826721191406,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
45,85.38774108886719,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
46,84.35774993896484,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
47,82.73772430419922,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
48,79.51224517822266,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
49,85.34986877441406,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
50,84.8399658203125,c26a5_00004,TCL (Conv),800,0,1,0.003646507557386913
